"Students from Ireland and Northern Ireland Enrolled in Third Level"
"Institutions (Number) by Type of Institution, County of Origin and Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
" ","Monaghan",740,712,736,835,875,851,853,830,..,..,..,..,..,..,..,..,..,..
" ","Antrim",11,14,9,10,14,10,7,9,..,..,..,..,..,..,..,..,..,..
" ","Armagh",10,16,8,8,3,6,7,7,..,..,..,..,..,..,..,..,..,..
" ","Derry",12,7,7,11,6,8,8,11,..,..,..,..,..,..,..,..,..,..
" ","Down",17,22,26,23,16,18,21,29,..,..,..,..,..,..,..,..,..,..
" ","Fermanagh",6,7,7,9,7,9,8,3,..,..,..,..,..,..,..,..,..,..
" ","Tyrone",9,20,23,24,11,8,7,11,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Teacher education colleges"
" ","All counties (2)",..,..,..,..,..,..,..,..,6674,6950,6660,6619,6414,6433,6651,6895,6969,5002
" ","Carlow",..,..,..,..,..,..,..,..,58,75,74,77,78,71,50,44,47,22
" ","Dublin",..,..,..,..,..,..,..,..,968,977,877,867,858,837,949,713,853,315
" ","Kildare",..,..,..,..,..,..,..,..,200,215,189,172,160,144,137,143,136,51
" ","Kilkenny",..,..,..,..,..,..,..,..,160,159,183,172,163,164,182,167,191,110
" ","Laois",..,..,..,..,..,..,..,..,100,120,108,112,101,106,118,132,133,102
" ","Longford",..,..,..,..,..,..,..,..,72,84,66,72,64,80,66,66,68,18
" ","Louth",..,..,..,..,..,..,..,..,176,170,166,154,150,173,177,159,176,47
" ","Meath",..,..,..,..,..,..,..,..,234,243,206,219,230,238,225,198,235,86
" ","Offaly",..,..,..,..,..,..,..,..,105,106,103,109,102,99,96,100,110,93
" ","Westmeath",..,..,..,..,..,..,..,..,114,122,133,132,127,118,120,114,116,53
" ","Wexford",..,..,..,..,..,..,..,..,178,219,235,245,246,228,226,205,211,85
" ","Wicklow",..,..,..,..,..,..,..,..,110,114,128,136,89,93,82,93,74,33
" ","Clare",..,..,..,..,..,..,..,..,395,443,434,439,410,395,362,386,426,418
" ","Cork",..,..,..,..,..,..,..,..,610,658,646,600,587,634,648,672,784,711
" ","Kerry",..,..,..,..,..,..,..,..,338,325,305,335,304,323,301,313,383,368
" ","Limerick",..,..,..,..,..,..,..,..,707,680,675,667,693,697,702,690,762,734
" ","Tipperary",..,..,..,..,..,..,..,..,383,388,398,429,413,395,373,414,462,468
" ","Waterford",..,..,..,..,..,..,..,..,138,150,148,145,138,158,161,144,178,130
" ","Galway",..,..,..,..,..,..,..,..,436,452,476,422,467,417,490,447,507,440
" ","Leitrim",..,..,..,..,..,..,..,..,81,99,58,72,43,53,51,60,70,41
" ","Mayo",..,..,..,..,..,..,..,..,291,312,297,313,288,304,298,246,283,168
" ","Roscommon",..,..,..,..,..,..,..,..,142,146,101,113,87,114,98,108,124,82
" ","Sligo",..,..,..,..,..,..,..,..,174,163,145,138,120,126,139,140,153,116
" ","Cavan",..,..,..,..,..,..,..,..,124,133,128,131,144,129,138,110,112,42
" ","Donegal",..,..,..,..,..,..,..,..,235,234,212,236,205,206,211,181,249,135
" ","Monaghan",..,..,..,..,..,..,..,..,103,107,102,106,101,125,120,126,119,35
" ","Antrim",..,..,..,..,..,..,..,..,..,..,2,1,2,1,1,..,2,..
" ","Armagh",..,..,..,..,..,..,..,..,..,..,1,..,..,..,1,..,..,..
" ","Derry",..,..,..,..,..,..,..,..,..,..,1,..,..,..,3,..,..,..
" ","Down",..,..,..,..,..,..,..,..,..,..,1,..,1,2,3,2,1,..
" ","Fermanagh",..,..,..,..,..,..,..,..,..,..,3,2,3,2,2,..,..,..
" ","Tyrone",..,..,..,..,..,..,..,..,1,1,1,1,..,1,2,..,1,1
" ","Origin unknown",..,..,..,..,..,..,..,..,41,55,58,2,40,..,119,722,3,98
"Teacher training primary"
" ","All counties (2)",534,598,644,760,779,676,705,721,..,..,..,..,..,..,..,..,..,..
" ","Carlow",15,13,7,9,15,17,20,18,..,..,..,..,..,..,..,..,..,..
" ","Dublin",131,140,146,208,223,192,211,198,..,..,..,..,..,..,..,..,..,..
" ","Kildare",20,29,45,56,51,40,33,27,..,..,..,..,..,..,..,..,..,..
" ","Kilkenny",21,20,22,17,20,19,21,20,..,..,..,..,..,..,..,..,..,..
" ","Laois",9,10,13,17,18,14,14,17,..,..,..,..,..,..,..,..,..,..
" ","Longford",6,4,7,8,7,7,8,10,..,..,..,..,..,..,..,..,..,..
" ","Louth",7,7,14,10,10,7,18,21,..,..,..,..,..,..,..,..,..,..
" ","Meath",17,17,20,31,40,35,36,31,..,..,..,..,..,..,..,..,..,..
" ","Offaly",18,18,20,22,21,12,10,9,..,..,..,..,..,..,..,..,..,..
" ","Westmeath",9,12,9,13,13,16,14,17,..,..,..,..,..,..,..,..,..,..
" ","Wexford",24,23,24,32,34,28,12,22,..,..,..,..,..,..,..,..,..,..
" ","Wicklow",23,31,30,32,29,31,38,38,..,..,..,..,..,..,..,..,..,..
" ","Clare",2,7,9,11,9,6,6,5,..,..,..,..,..,..,..,..,..,..
" ","Cork",23,23,29,35,41,31,32,29,..,..,..,..,..,..,..,..,..,..
" ","Kerry",12,13,18,19,21,16,18,23,..,..,..,..,..,..,..,..,..,..
" ","Limerick",7,10,9,9,4,5,6,8,..,..,..,..,..,..,..,..,..,..
" ","Tipperary",18,17,17,17,18,16,17,17,..,..,..,..,..,..,..,..,..,..
" ","Waterford",11,10,9,9,11,6,9,10,..,..,..,..,..,..,..,..,..,..
" ","Galway",18,29,28,36,35,31,35,38,..,..,..,..,..,..,..,..,..,..
" ","Leitrim",8,9,11,19,15,11,4,9,..,..,..,..,..,..,..,..,..,..
" ","Mayo",45,55,54,57,44,41,31,24,..,..,..,..,..,..,..,..,..,..
" ","Roscommon",16,19,17,13,14,9,11,16,..,..,..,..,..,..,..,..,..,..
" ","Sligo",10,11,12,9,8,5,15,17,..,..,..,..,..,..,..,..,..,..
" ","Cavan",9,15,19,19,22,24,29,28,..,..,..,..,..,..,..,..,..,..
" ","Donegal",45,47,46,42,46,41,44,54,..,..,..,..,..,..,..,..,..,..
" ","Monaghan",10,9,9,10,10,16,13,15,..,..,..,..,..,..,..,..,..,..
" ","Antrim",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Armagh",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Derry",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Down",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Fermanagh",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Tyrone",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Teacher training home economics"
" ","All counties (2)",388,360,379,398,391,414,476,462,..,..,..,..,..,..,..,..,..,..
" ","Carlow",6,6,7,5,5,2,1,2,..,..,..,..,..,..,..,..,..,..
" ","Dublin",12,9,14,19,22,22,22,9,..,..,..,..,..,..,..,..,..,..
" ","Kildare",4,5,5,4,3,4,4,6,..,..,..,..,..,..,..,..,..,..
" ","Kilkenny",8,6,5,4,5,5,5,4,..,..,..,..,..,..,..,..,..,..
" ","Laois",2,4,6,8,6,6,4,4,..,..,..,..,..,..,..,..,..,..
" ","Longford",2,7,8,7,6,5,5,2,..,..,..,..,..,..,..,..,..,..
" ","Louth",5,5,5,3,2,5,3,..,..,..,..,..,..,..,..,..,..,..
" ","Meath",6,5,4,4,6,4,6,7,..,..,..,..,..,..,..,..,..,..
" ","Offaly",7,4,3,5,5,9,4,5,..,..,..,..,..,..,..,..,..,..
" ","Westmeath",10,4,3,4,5,4,5,5,..,..,..,..,..,..,..,..,..,..
" ","Wexford",9,8,7,6,6,5,6,5,..,..,..,..,..,..,..,..,..,..
" ","Wicklow",..,2,4,3,5,6,2,5,..,..,..,..,..,..,..,..,..,..
" ","Clare",14,10,6,4,8,7,10,14,..,..,..,..,..,..,..,..,..,..
" ","Cork",34,28,20,23,20,18,23,15,..,..,..,..,..,..,..,..,..,..
" ","Kerry",14,12,8,6,6,7,6,10,..,..,..,..,..,..,..,..,..,..
" ","Limerick",8,7,8,13,12,13,20,11,..,..,..,..,..,..,..,..,..,..
" ","Tipperary",20,17,15,12,12,10,11,16,..,..,..,..,..,..,..,..,..,..
" ","Waterford",4,5,4,4,5,5,6,3,..,..,..,..,..,..,..,..,..,..
" ","Galway",47,35,40,35,38,33,72,70,..,..,..,..,..,..,..,..,..,..
" ","Leitrim",19,22,26,24,23,36,25,25,..,..,..,..,..,..,..,..,..,..
" ","Mayo",43,32,35,40,46,45,81,80,..,..,..,..,..,..,..,..,..,..
" ","Roscommon",21,21,23,26,22,53,17,32,..,..,..,..,..,..,..,..,..,..
" ","Sligo",55,66,75,89,75,60,82,80,..,..,..,..,..,..,..,..,..,..
" ","Cavan",8,11,12,13,13,15,16,11,..,..,..,..,..,..,..,..,..,..
" ","Donegal",24,22,31,32,28,30,28,31,..,..,..,..,..,..,..,..,..,..
" ","Monaghan",6,5,3,3,5,..,10,10,..,..,..,..,..,..,..,..,..,..
" ","Antrim",..,1,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..
" ","Armagh",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Derry",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Down",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Fermanagh",..,..,1,1,2,5,1,..,..,..,..,..,..,..,..,..,..,..
" ","Tyrone",..,1,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Other third level education institutions aided by the Department of Education and Skills (1)"
