"Domiciliary Origin of Students Enrolled in Full-time Third Level"
"Institutions (Number) by Type of Institution, Domiciliary Origin and"
"Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Institutes of technology including Killybegs H.T.C./Tipperary Institute"
" ","All countries",46424,48360,49890,51507,53586,52229,53386,53358,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",..,..,..,11,42,4,..,12,..,..,..,..,..,..,..,..,..,..
" ","Austria",37,32,24,16,28,21,26,30,..,..,..,..,..,..,..,..,..,..
" ","Belgium",12,20,22,18,21,12,27,36,..,..,..,..,..,..,..,..,..,..
" ","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Canada",..,3,..,3,3,3,3,11,..,..,..,..,..,..,..,..,..,..
" ","Cyprus",..,..,..,..,..,1,1,2,..,..,..,..,..,..,..,..,..,..
" ","Czech Republic",..,..,..,..,..,13,5,14,..,..,..,..,..,..,..,..,..,..
" ","Germany",215,246,251,182,318,240,262,325,..,..,..,..,..,..,..,..,..,..
" ","Denmark",5,8,8,5,7,3,3,5,..,..,..,..,..,..,..,..,..,..
" ","Estonia",..,..,..,..,..,3,8,9,..,..,..,..,..,..,..,..,..,..
" ","Spain",109,118,134,112,156,199,208,161,..,..,..,..,..,..,..,..,..,..
" ","Finland",61,61,51,50,61,43,49,48,..,..,..,..,..,..,..,..,..,..
" ","France",373,385,352,274,358,306,421,506,..,..,..,..,..,..,..,..,..,..
" ","United Kingdom",153,205,181,241,253,305,266,354,..,..,..,..,..,..,..,..,..,..
" ","Greece",6,9,10,3,3,4,5,..,..,..,..,..,..,..,..,..,..,..
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Hungary",..,..,..,..,..,3,6,8,..,..,..,..,..,..,..,..,..,..
" ","Ireland",45277,46975,48572,50087,51681,50425,51448,50836,..,..,..,..,..,..,..,..,..,..
" ","Italy",22,33,36,42,37,43,53,81,..,..,..,..,..,..,..,..,..,..
" ","Lithuania",..,..,..,..,..,6,22,31,..,..,..,..,..,..,..,..,..,..
" ","Luxembourg",..,6,2,..,..,1,..,1,..,..,..,..,..,..,..,..,..,..
" ","Latvia",..,..,..,..,..,1,6,11,..,..,..,..,..,..,..,..,..,..
" ","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Netherlands",34,38,27,18,20,23,27,39,..,..,..,..,..,..,..,..,..,..
" ","Poland",..,..,..,..,..,40,73,115,..,..,..,..,..,..,..,..,..,..
" ","Portugal",1,4,1,1,5,2,3,31,..,..,..,..,..,..,..,..,..,..
" ","Romania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Sweden",23,28,25,30,24,27,25,27,..,..,..,..,..,..,..,..,..,..
" ","Slovenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
