"Domiciliary Origin of Students Enrolled in Full-time Third Level"
"Institutions (Number) by Type of Institution, Domiciliary Origin and"
"Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
" ","Slovakia",..,..,..,..,..,2,3,4,..,..,..,..,..,..,..,..,..,..
" ","United States",8,25,16,15,21,25,44,47,..,..,..,..,..,..,..,..,..,..
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",24,35,28,60,60,58,69,132,..,..,..,..,..,..,..,..,..,..
" ","Asia (1)",23,29,64,241,360,372,273,404,..,..,..,..,..,..,..,..,..,..
" ","Australasia (1)",3,2,8,7,6,5,5,9,..,..,..,..,..,..,..,..,..,..
" ","America (1)",4,3,3,2,2,2,5,11,..,..,..,..,..,..,..,..,..,..
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",46328,48168,49696,51079,52972,51723,52947,52674,..,..,..,..,..,..,..,..,..,..
" ","Other Europe (1)",34,95,75,89,120,37,40,58,..,..,..,..,..,..,..,..,..,..
"Teacher education colleges"
" ","All countries",..,..,..,..,..,..,..,..,6697,6973,6732,6691,6428,6454,6703,6953,7029,5118
" ","Origin unknown",..,..,..,..,..,..,..,..,2,..,52,52,..,1,1,..,..,7
" ","Austria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..
" ","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Canada",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,2,1
" ","Cyprus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Czech Republic",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Germany",..,..,..,..,..,..,..,..,1,3,2,2,4,4,10,6,3,5
" ","Denmark",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Spain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,1
" ","Finland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,1,..
" ","France",..,..,..,..,..,..,..,..,1,2,1,1,1,2,2,1,2,2
" ","United Kingdom",..,..,..,..,..,..,..,..,6,5,15,9,9,10,22,11,9,8
" ","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,..
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
" ","Ireland",..,..,..,..,..,..,..,..,6673,6949,6651,6615,6408,6427,6639,6893,6965,5001
" ","Italy",..,..,..,..,..,..,..,..,2,4,2,2,..,..,1,..,2,2
" ","Lithuania",..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,1
" ","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Latvia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1
" ","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..
" ","Netherlands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1
" ","Poland",..,..,..,..,..,..,..,..,2,1,1,1,1,1,..,..,..,..
" ","Portugal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Romania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Sweden",..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,1
" ","Slovenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Slovakia",..,..,..,..,..,..,..,..,1,1,..,..,..,..,..,..,..,..
" ","United States",..,..,..,..,..,..,..,..,3,2,2,1,1,1,2,4,16,19
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",..,..,..,..,..,..,..,..,..,3,4,4,3,7,6,9,11,18
" ","Asia (1)",..,..,..,..,..,..,..,..,1,1,1,2,..,..,16,17,5,42
" ","Australasia (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2
" ","America (1)",..,..,..,..,..,..,..,..,3,1,1,1,1,..,..,6,7,2
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",..,..,..,..,..,..,..,..,6686,6965,6672,6631,6423,6445,6678,6914,6986,5024
" ","Other Europe (1)",..,..,..,..,..,..,..,..,2,1,..,..,..,..,..,2,2,3
"Teacher training primary"
" ","All countries",534,598,644,760,779,676,705,721,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Austria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Canada",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Cyprus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Czech Republic",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Germany",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Denmark",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Spain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Finland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","France",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","United Kingdom",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Ireland",534,598,644,760,779,676,705,721,..,..,..,..,..,..,..,..,..,..
" ","Italy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Lithuania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Latvia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Netherlands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Poland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Portugal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Romania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Sweden",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Slovenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Slovakia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","United States",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Asia (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Australasia (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",534,598,644,760,779,676,705,721,..,..,..,..,..,..,..,..,..,..
