Counties,Student_Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Countries,Study_Mode,Institute
Louth,Longford,10.0,8.0,8.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,16.0,16.0,14.0,14.0,15.0,14.0,11.0,11.0,0,0,0
Louth,Louth,1124.0,1081.0,1186.0,1233.0,1380.0,1375.0,1378.0,1359.0,1391.0,1530.0,1779.0,1848.0,1556.0,1629.0,1568.0,1655.0,1645.0,1655.0,0,0,0
Louth,Meath,316.0,286.0,346.0,367.0,446.0,448.0,495.0,552.0,580.0,634.0,702.0,738.0,719.0,684.0,649.0,640.0,660.0,632.0,0,0,0
Louth,Offaly,11.0,10.0,13.0,8.0,8.0,8.0,7.0,10.0,8.0,9.0,10.0,11.0,12.0,10.0,14.0,12.0,6.0,12.0,0,0,0
Louth,Westmeath,21.0,10.0,18.0,21.0,27.0,28.0,29.0,33.0,34.0,38.0,44.0,47.0,43.0,39.0,37.0,43.0,42.0,39.0,0,0,0
Louth,Wexford,8.0,7.0,8.0,9.0,8.0,6.0,6.0,9.0,9.0,10.0,12.0,14.0,17.0,14.0,14.0,17.0,18.0,20.0,0,0,0
Louth,Wicklow,24.0,10.0,11.0,15.0,14.0,13.0,16.0,22.0,22.0,26.0,24.0,14.0,23.0,22.0,27.0,33.0,32.0,27.0,0,0,0
Louth,Clare,5.0,6.0,4.0,6.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,7.0,8.0,12.0,13.0,10.0,5.0,2.0,0,0,0
Louth,Cork,20.0,17.0,23.0,25.0,16.0,15.0,14.0,18.0,21.0,24.0,22.0,21.0,17.0,13.0,19.0,15.0,8.0,17.0,0,0,0
Louth,Kerry,9.0,5.0,4.0,3.0,9.0,5.0,6.0,8.0,8.0,7.0,9.0,15.0,13.0,13.0,9.0,7.0,6.0,5.0,0,0,0
Louth,Limerick,6.0,4.0,13.0,5.0,7.0,6.0,9.0,13.0,14.0,8.0,7.0,8.0,3.0,4.0,8.0,7.0,6.0,3.0,0,0,0
Louth,Tipperary,12.0,9.0,8.0,10.0,10.0,10.0,10.0,6.0,6.0,8.0,10.0,9.0,9.0,7.0,4.0,6.0,9.0,7.0,0,0,0
Louth,Waterford,3.0,3.0,3.0,2.0,2.0,2.0,3.0,7.0,2.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,6.0,8.0,0,0,0
Louth,Galway,15.0,12.0,13.0,19.0,15.0,11.0,11.0,19.0,13.0,21.0,22.0,25.0,28.0,21.0,14.0,14.0,12.0,13.0,0,0,0
Louth,Leitrim,12.0,10.0,6.0,7.0,13.0,12.0,15.0,13.0,18.0,14.0,12.0,16.0,15.0,16.0,16.0,16.0,15.0,16.0,0,0,0
Louth,Mayo,11.0,16.0,17.0,15.0,13.0,12.0,11.0,18.0,25.0,25.0,32.0,28.0,18.0,26.0,21.0,21.0,22.0,11.0,0,0,0
Louth,Roscommon,10.0,7.0,6.0,8.0,9.0,8.0,4.0,5.0,9.0,10.0,13.0,7.0,5.0,9.0,9.0,10.0,8.0,6.0,0,0,0
Louth,Sligo,5.0,2.0,2.0,5.0,12.0,10.0,8.0,5.0,10.0,11.0,18.0,10.0,6.0,6.0,8.0,7.0,7.0,8.0,0,0,0
Louth,Cavan,105.0,120.0,144.0,135.0,168.0,191.0,189.0,188.0,232.0,257.0,284.0,298.0,286.0,251.0,227.0,209.0,211.0,207.0,0,0,0
Louth,Donegal,22.0,20.0,24.0,27.0,21.0,20.0,24.0,25.0,23.0,28.0,31.0,32.0,22.0,23.0,26.0,23.0,21.0,15.0,0,0,0
Louth,Monaghan,289.0,248.0,285.0,313.0,387.0,377.0,413.0,420.0,456.0,502.0,534.0,568.0,539.0,497.0,479.0,456.0,475.0,463.0,0,0,0
Louth,Antrim,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0,0,0
Louth,Armagh,2.0,3.0,3.0,6.0,0.0,2.0,1.0,2.0,1.0,6.0,2.0,9.0,10.0,10.0,7.0,17.0,13.0,14.0,0,0,0
