"","county","year","CO_concentration_value","CO_AQI","NO2_concentration_value","NO2_AQI","O3_concentration_value","O3_AQI","PM2.5_concentration_value","PM2.5_AQI","PM10_concentration_value","PM10_AQI","lattitude","longitude","Age_Group","Strata","Strata_Name","Numerator","NumeratorTransformed"
"587","San Joaquin",2017,0.426959247648903,4.77742946708464,17.7201183431953,16.2707100591716,0.0404701492537313,39.5970149253731,10.7728349370836,39.3789785344189,25.4853503184713,22.9605095541401,37.9507408985318,-121.268522670981,"18 and Over","Sex","Female",1844,7.51969240411654
"588","San Joaquin",2017,0.426959247648903,4.77742946708464,17.7201183431953,16.2707100591716,0.0404701492537313,39.5970149253731,10.7728349370836,39.3789785344189,25.4853503184713,22.9605095541401,37.9507408985318,-121.268522670981,"18 and Over","Sex","Male",1345,7.20414929203594
"589","Santa Clara",2011,0.49080118694362,5.61127596439169,22.2785413744741,20.5582047685835,0.0343802083333333,32.5,10.0225890529974,39.139009556907,16.5222222222222,15.2777777777778,37.3329307715134,-121.985413790801,"Under 18","Sex","Male",1249,7.13009851012558
"590","Santa Clara",2011,0.49080118694362,5.61127596439169,22.2785413744741,20.5582047685835,0.0343802083333333,32.5,10.0225890529974,39.139009556907,16.5222222222222,15.2777777777778,37.3329307715134,-121.985413790801,"18 and Over","Sex","Female",2432,7.79646924308606
"591","Santa Clara",2011,0.49080118694362,5.61127596439169,22.2785413744741,20.5582047685835,0.0343802083333333,32.5,10.0225890529974,39.139009556907,16.5222222222222,15.2777777777778,37.3329307715134,-121.985413790801,"Under 18","Sex","Female",646,6.4707995037826
"592","Santa Clara",2011,0.49080118694362,5.61127596439169,22.2785413744741,20.5582047685835,0.0343802083333333,32.5,10.0225890529974,39.139009556907,16.5222222222222,15.2777777777778,37.3329307715134,-121.985413790801,"All Ages","Sex","Female",3078,8.03203531439882
"593","Santa Clara",2011,0.49080118694362,5.61127596439169,22.2785413744741,20.5582047685835,0.0343802083333333,32.5,10.0225890529974,39.139009556907,16.5222222222222,15.2777777777778,37.3329307715134,-121.985413790801,"All Ages","Sex","Male",2641,7.87891291229713
"594","Santa Clara",2011,0.49080118694362,5.61127596439169,22.2785413744741,20.5582047685835,0.0343802083333333,32.5,10.0225890529974,39.139009556907,16.5222222222222,15.2777777777778,37.3329307715134,-121.985413790801,"18 and Over","Sex","Male",1392,7.23849684089437
"595","Santa Clara",2012,0.474212034383954,5.44842406876791,21.1141470180305,19.4785020804438,0.0355817120622568,33.6277561608301,8.19202401372213,32.8233276157804,16.0837988826816,14.8826815642458,37.3329491747851,-121.985306777937,"All Ages","Sex","Male",2617,7.86978390253015
"596","Santa Clara",2012,0.474212034383954,5.44842406876791,21.1141470180305,19.4785020804438,0.0355817120622568,33.6277561608301,8.19202401372213,32.8233276157804,16.0837988826816,14.8826815642458,37.3329491747851,-121.985306777937,"18 and Over","Sex","Female",2409,7.78696700261487
"597","Santa Clara",2012,0.474212034383954,5.44842406876791,21.1141470180305,19.4785020804438,0.0355817120622568,33.6277561608301,8.19202401372213,32.8233276157804,16.0837988826816,14.8826815642458,37.3329491747851,-121.985306777937,"18 and Over","Sex","Male",1382,7.23128700432762
"598","Santa Clara",2012,0.474212034383954,5.44842406876791,21.1141470180305,19.4785020804438,0.0355817120622568,33.6277561608301,8.19202401372213,32.8233276157804,16.0837988826816,14.8826815642458,37.3329491747851,-121.985306777937,"Under 18","Sex","Female",663,6.49677499018586
"599","Santa Clara",2012,0.474212034383954,5.44842406876791,21.1141470180305,19.4785020804438,0.0355817120622568,33.6277561608301,8.19202401372213,32.8233276157804,16.0837988826816,14.8826815642458,37.3329491747851,-121.985306777937,"Under 18","Sex","Male",1235,7.11882624906208
"600","Santa Clara",2012,0.474212034383954,5.44842406876791,21.1141470180305,19.4785020804438,0.0355817120622568,33.6277561608301,8.19202401372213,32.8233276157804,16.0837988826816,14.8826815642458,37.3329491747851,-121.985306777937,"All Ages","Sex","Female",3072,8.03008409426756
"601","Santa Clara",2013,0.529896907216495,6.08247422680412,22.5281690140845,20.7816901408451,0.0357232394366197,33.8598591549296,10.0556581986143,38.6235565819861,18.5524861878453,17.1602209944751,37.3335324108984,-121.981915328424,"Under 18","Sex","Female",643,6.46614472423762
"602","Santa Clara",2013,0.529896907216495,6.08247422680412,22.5281690140845,20.7816901408451,0.0357232394366197,33.8598591549296,10.0556581986143,38.6235565819861,18.5524861878453,17.1602209944751,37.3335324108984,-121.981915328424,"18 and Over","Sex","Male",1396,7.24136628332232
"603","Santa Clara",2013,0.529896907216495,6.08247422680412,22.5281690140845,20.7816901408451,0.0357232394366197,33.8598591549296,10.0556581986143,38.6235565819861,18.5524861878453,17.1602209944751,37.3335324108984,-121.981915328424,"All Ages","Sex","Female",3070,8.02943284058124
"604","Santa Clara",2013,0.529896907216495,6.08247422680412,22.5281690140845,20.7816901408451,0.0357232394366197,33.8598591549296,10.0556581986143,38.6235565819861,18.5524861878453,17.1602209944751,37.3335324108984,-121.981915328424,"Under 18","Sex","Male",1163,7.05875815251866
"605","Santa Clara",2013,0.529896907216495,6.08247422680412,22.5281690140845,20.7816901408451,0.0357232394366197,33.8598591549296,10.0556581986143,38.6235565819861,18.5524861878453,17.1602209944751,37.3335324108984,-121.981915328424,"All Ages","Sex","Male",2559,7.84737183615979
"606","Santa Clara",2013,0.529896907216495,6.08247422680412,22.5281690140845,20.7816901408451,0.0357232394366197,33.8598591549296,10.0556581986143,38.6235565819861,18.5524861878453,17.1602209944751,37.3335324108984,-121.981915328424,"18 and Over","Sex","Female",2427,7.7944112057266
